user_id,item_id,rating
1,108,5.0
1,112,5.0
1,114,3.5
1,118,4.5
1,119,4.5
1,120,3.5
1,121,4.5
1,122,4.5
1,133,5.0
1,137,3.5
1,146,1.0
1,156,5.0
1,158,3.0
2,104,4.0
2,108,3.0
2,115,4.0
2,126,3.5
2,143,4.5
2,148,4.0
2,151,3.0
2,156,3.5
2,167,5.0
3,117,3.5
3,144,4.0
3,155,4.0
3,156,3.5
3,159,3.0
4,101,5.0
4,102,3.5
4,108,2.5
4,110,3.5
4,114,3.5
4,119,2.5
4,131,3.0
4,132,3.5
4,146,4.5
4,148,5.0
4,151,3.0
4,152,4.0
4,153,3.0
4,154,3.5
4,157,5.0
4,160,1.5
4,163,4.5
4,171,4.0
4,172,4.5
4,173,2.0
5,107,4.5
5,122,5.0
5,136,5.0
5,160,4.0
5,161,5.0
5,172,2.5
5,180,3.0
6,115,4.5
6,126,3.0
6,146,2.5
6,156,5.0
6,175,3.5
7,112,5.0
7,123,3.5
7,134,5.0
7,145,2.5
7,157,3.0
8,103,4.5
8,108,4.0
8,123,5.0
8,128,2.5
8,131,4.0
8,138,3.5
8,144,3.0
8,147,3.0
8,148,4.0
8,157,3.0
8,164,5.0
8,172,4.5
9,105,4.0
9,112,4.0
9,122,2.5
9,136,2.5
9,138,5.0
9,157,3.5
9,158,5.0
9,179,2.0
10,102,4.5
10,104,3.5
10,110,2.0
10,120,4.5
10,129,3.0
10,134,5.0
10,149,3.5
10,161,2.5
10,170,4.5
11,103,4.0
11,122,5.0
11,140,3.5
11,143,4.0
11,156,5.0
11,175,4.5
12,131,5.0
12,137,5.0
12,144,3.0
12,176,3.5
12,177,4.0
13,104,5.0
13,110,4.0
13,119,3.5
13,121,4.5
13,128,4.5
13,134,3.0
13,140,2.5
13,144,3.0
13,146,5.0
13,147,2.5
13,156,4.0
13,159,3.0
13,175,4.5
13,178,3.5
14,107,4.5
14,109,5.0
14,110,5.0
14,112,5.0
14,123,5.0
14,127,3.0
14,128,5.0
14,135,5.0
14,139,3.5
14,145,3.0
14,148,2.5
14,150,3.5
14,151,5.0
14,154,2.0
14,160,5.0
14,161,4.5
14,162,3.0
14,173,4.5
14,175,4.0
15,107,4.0
15,108,3.5
15,115,3.5
15,120,3.0
15,126,3.5
15,134,4.0
15,142,3.0
15,145,3.0
15,156,5.0
15,162,3.5
15,174,4.5
15,179,5.0
16,103,3.5
16,106,3.5
16,108,4.0
16,114,3.5
16,124,4.5
16,134,5.0
16,143,2.0
16,150,4.0
16,156,4.0
16,159,4.5
16,164,3.5
16,165,2.0
16,166,2.5
16,174,3.0
16,175,4.5
16,179,5.0
17,104,3.5
17,107,5.0
17,109,4.5
17,122,4.5
17,124,3.0
17,134,4.5
17,136,5.0
17,137,3.5
17,139,4.0
17,149,5.0
17,151,5.0
17,160,4.5
17,162,5.0
17,164,2.0
17,167,3.5
17,168,5.0
17,171,4.0
17,178,5.0
18,107,3.5
18,112,1.5
18,121,3.5
18,129,4.0
18,140,5.0
18,143,2.5
18,151,1.5
18,180,5.0
19,104,3.5
19,109,3.0
19,112,4.0
19,114,3.5
19,119,3.0
19,129,4.5
19,131,3.5
19,132,5.0
19,141,2.0
19,145,4.0
19,146,5.0
19,156,3.0
19,165,4.5
19,172,3.0
20,103,4.0
20,109,4.0
20,110,4.0
20,111,1.5
20,117,4.0
20,122,3.0
20,123,4.5
20,126,3.0
20,127,3.0
20,130,3.5
20,134,5.0
20,139,3.5
20,143,3.0
20,149,4.0
20,151,3.0
20,154,3.0
20,155,3.5
20,160,5.0
20,162,4.5
20,173,4.5
21,109,3.0
21,116,5.0
21,117,3.0
21,129,4.5
21,132,4.5
21,140,5.0
21,144,5.0
21,145,3.5
21,146,5.0
21,147,5.0
21,148,5.0
21,156,1.5
21,157,4.0
21,161,2.5
21,176,5.0
21,179,3.0
22,114,3.0
22,129,1.0
22,132,2.0
22,141,4.0
22,153,5.0
22,164,3.5
22,171,4.5
23,108,4.0
23,114,2.5
23,119,4.5
23,128,5.0
23,129,2.0
23,132,2.5
23,134,5.0
23,139,3.0
23,142,5.0
23,144,1.0
23,148,4.0
23,149,4.0
23,156,5.0
23,157,4.0
23,159,4.0
23,160,5.0
23,165,1.5
23,171,1.5
23,180,3.0
24,103,3.0
24,112,5.0
24,136,4.0
24,140,3.5
24,147,2.5
24,149,5.0
24,150,5.0
24,156,4.5
24,170,1.5
24,174,5.0
24,175,4.0
25,111,4.5
25,117,3.0
25,133,2.5
25,137,3.0
25,140,4.0
25,141,3.0
25,148,4.0
25,158,3.5
25,163,2.5
25,170,5.0
25,175,2.0
25,176,4.5
26,103,4.0
26,106,5.0
26,107,3.5
26,112,3.0
26,116,2.5
26,117,3.0
26,134,3.5
26,140,2.5
26,141,1.5
26,148,4.5
26,160,2.0
26,172,4.0
26,180,4.5
27,116,2.5
27,121,3.5
27,128,4.5
27,133,5.0
27,140,1.0
27,145,4.0
27,147,2.0
27,149,4.0
27,168,4.5
27,170,3.5
27,179,5.0
28,104,3.0
28,116,5.0
28,117,1.5
28,138,5.0
28,147,3.0
29,111,5.0
29,118,5.0
29,132,4.5
29,140,3.5
29,147,5.0
29,162,1.5
29,163,3.0
29,170,3.5
29,179,2.5
29,180,3.5
30,102,2.5
30,103,2.5
30,110,4.5
30,112,4.0
30,115,4.5
30,117,4.0
30,122,3.0
30,145,3.0
30,148,3.0
30,149,5.0
30,150,3.5
30,153,4.5
30,156,5.0
30,166,3.0
30,171,2.5
30,173,3.5
30,174,4.0
31,101,2.5
31,106,3.5
31,107,2.5
31,111,4.0
31,112,2.0
31,114,5.0
31,124,5.0
31,131,3.5
31,132,4.5
31,137,4.0
31,140,4.5
31,142,3.5
31,146,5.0
31,148,4.5
31,150,3.0
31,156,2.5
31,168,3.0
31,177,4.5
31,179,4.5
32,106,4.5
32,123,4.0
32,126,3.5
32,136,4.0
32,149,4.5
32,166,3.0
32,168,4.0
32,169,4.5
32,174,4.0
32,175,4.5
32,178,3.5
33,101,5.0
33,102,3.0
33,107,5.0
33,108,5.0
33,115,4.5
33,131,3.5
33,134,4.0
33,136,4.5
33,141,4.0
33,159,5.0
33,171,2.5
33,175,4.5
33,179,4.0
34,102,5.0
34,108,4.0
34,114,4.5
34,115,4.0
34,118,5.0
34,119,5.0
34,120,5.0
34,131,4.0
34,134,3.0
34,135,3.0
34,138,3.5
34,142,4.5
34,149,3.0
34,150,2.5
34,152,3.0
34,155,5.0
34,163,4.0
34,171,5.0
34,176,3.0
34,180,3.0
35,101,5.0
35,104,5.0
35,105,2.5
35,109,3.0
35,121,5.0
35,123,5.0
35,142,4.0
35,143,5.0
35,146,3.5
35,156,4.0
35,171,5.0
35,172,4.0
35,173,3.5
35,177,4.5
35,180,3.0
36,101,4.0
36,103,4.0
36,111,3.5
36,113,4.5
36,121,4.0
36,123,3.0
36,127,5.0
36,141,3.5
36,144,3.5
36,150,3.5
36,151,4.5
36,160,2.5
36,162,4.0
36,166,5.0
36,167,5.0
36,170,3.5
36,179,2.0
37,101,4.0
37,108,4.0
37,109,4.0
37,113,3.0
37,120,4.0
37,130,5.0
37,136,4.0
37,145,3.0
37,165,2.0
37,168,5.0
37,175,3.0
38,105,3.0
38,117,5.0
38,130,5.0
38,136,5.0
38,153,5.0
38,169,4.0
39,101,3.0
39,114,4.5
39,116,5.0
39,119,1.5
39,122,2.0
39,127,3.5
39,129,4.0
39,134,3.0
39,138,5.0
39,140,4.5
39,146,4.0
39,148,4.5
39,152,4.0
39,154,3.5
39,157,5.0
39,161,4.0
39,174,3.0
39,176,4.5
39,179,2.0
39,180,5.0
40,106,3.5
40,108,1.5
40,114,5.0
40,116,4.5
40,117,2.0
40,122,3.0
40,129,5.0
40,131,4.0
40,140,4.0
40,145,4.5
40,146,5.0
40,152,4.5
40,156,3.5
40,157,4.5
40,165,4.0
40,170,5.0
40,172,4.0
40,173,1.0
40,180,3.5
41,123,5.0
41,129,2.0
41,149,5.0
41,153,2.5
41,162,4.0
41,179,4.0
42,110,3.5
42,114,4.0
42,116,5.0
42,121,3.5
42,122,3.5
42,123,2.0
42,129,5.0
42,132,5.0
42,135,2.0
42,139,2.5
42,143,2.5
42,144,4.0
42,148,5.0
42,152,5.0
42,164,4.0
42,169,3.5
42,170,4.0
42,179,3.0
43,102,3.5
43,105,2.5
43,107,5.0
43,109,5.0
43,110,4.5
43,115,5.0
43,118,3.0
43,119,3.0
43,130,5.0
43,133,4.0
43,137,3.5
43,143,3.5
43,149,4.0
43,151,3.0
43,156,4.0
43,179,5.0
44,103,5.0
44,104,3.0
44,109,2.5
44,118,5.0
44,125,4.0
44,130,3.5
44,132,3.5
44,133,4.5
44,146,3.0
44,153,3.5
44,155,5.0
44,156,4.0
44,160,2.5
44,163,4.5
44,169,4.0
44,170,2.5
44,175,4.0
44,179,3.0
44,180,2.5
45,110,5.0
45,112,4.5
45,119,5.0
45,132,2.5
45,133,4.5
45,136,4.0
45,140,1.5
45,141,4.5
45,144,2.0
45,145,3.0
45,152,2.5
45,158,4.5
45,160,5.0
45,163,2.5
45,164,2.5
45,168,4.5
45,174,5.0
45,176,1.5
46,105,5.0
46,111,4.5
46,116,5.0
46,121,2.5
46,123,3.0
46,142,3.0
46,144,3.5
46,146,4.0
46,147,4.5
46,148,4.0
46,151,2.0
46,156,3.5
46,165,5.0
46,171,5.0
46,177,3.5
46,178,4.0
47,102,4.0
47,107,3.5
47,112,3.5
47,115,5.0
47,117,3.0
47,119,3.0
47,121,2.5
47,122,5.0
47,125,2.5
47,132,1.5
47,135,4.5
47,136,4.5
47,143,3.5
47,149,5.0
47,151,5.0
47,154,3.5
47,159,4.0
47,169,2.5
47,170,3.5
48,106,3.0
48,108,2.5
48,115,4.5
48,116,4.5
48,130,3.0
48,136,2.5
48,140,3.5
48,146,5.0
48,147,5.0
48,153,2.0
48,154,5.0
48,157,5.0
48,177,3.5
48,180,5.0
49,106,4.0
49,111,4.0
49,114,4.5
49,119,4.0
49,121,1.5
49,129,5.0
49,131,5.0
49,133,2.5
49,144,5.0
49,166,1.5
50,108,5.0
50,111,3.0
50,115,3.5
50,124,4.5
50,128,4.5
50,133,4.5
50,152,2.5
50,156,3.5
50,162,5.0
50,163,3.5
50,165,2.5
50,169,3.5
50,170,3.5
50,179,4.0
